epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.934,2.02134,2.3748,1.93736,0.52591,0.25521,0.25782,0.08167,2.31538,2.25885,2.32534,0.000254124,0.000254124,0.000254124
2,191.592,2.0049,1.85891,1.90993,0.50377,0.286,0.2563,0.0978,2.22904,2.39844,2.24026,0.000508435,0.000508435,0.000508435
3,278.593,2.02254,1.88576,1.93456,0.5431,0.29844,0.28566,0.10983,2.26731,3.08593,2.25702,0.000760717,0.000760717,0.000760717
4,366.929,2.0145,1.83431,1.92635,0.40872,0.34957,0.28648,0.10462,2.26582,2.10782,2.18232,0.000759864,0.000759864,0.000759864
5,449.966,2.00574,1.77312,1.9219,0.52483,0.35264,0.35568,0.12775,2.27825,2.09326,2.2213,0.000756819,0.000756819,0.000756819
6,540.271,1.98006,1.71294,1.88471,0.61309,0.40987,0.41411,0.15219,2.19942,1.88648,2.13109,0.000753774,0.000753774,0.000753774
7,628.413,1.96281,1.65073,1.88561,0.51534,0.40068,0.36569,0.13814,2.20253,1.84261,2.14743,0.000750729,0.000750729,0.000750729
8,710.927,1.95706,1.6482,1.87454,0.48195,0.41241,0.41418,0.15681,2.14746,1.82046,2.14238,0.000747683,0.000747683,0.000747683
9,813.406,1.90806,1.54893,1.85098,0.62463,0.47146,0.51311,0.20531,2.10929,1.59918,2.05892,0.000744638,0.000744638,0.000744638
10,918.048,1.90273,1.50032,1.83033,0.62826,0.45293,0.5013,0.21391,2.05116,1.51784,2.03276,0.000741593,0.000741593,0.000741593
11,1026.31,1.90023,1.51275,1.83315,0.83416,0.3743,0.49555,0.20941,2.09806,1.55228,2.06812,0.000738548,0.000738548,0.000738548
12,1113.92,1.88393,1.44262,1.80664,0.6962,0.50029,0.55273,0.22613,2.03565,1.41811,1.98934,0.000735502,0.000735502,0.000735502
13,1222.75,1.86218,1.38154,1.78989,0.75709,0.44456,0.52845,0.20913,2.07448,1.53173,2.05095,0.000732457,0.000732457,0.000732457
14,1324.95,1.8475,1.37846,1.78292,0.72233,0.49947,0.52496,0.21525,2.10335,1.42834,2.0253,0.000729412,0.000729412,0.000729412
15,1413.25,1.86909,1.34141,1.78806,0.65226,0.59681,0.60386,0.23951,2.09704,1.32358,2.0321,0.000726367,0.000726367,0.000726367
16,1506.16,1.83072,1.31561,1.77074,0.65937,0.57678,0.60079,0.2308,2.09388,1.37087,2.06747,0.000723321,0.000723321,0.000723321
17,1594.28,1.83029,1.32021,1.76503,0.69081,0.53161,0.59469,0.24817,2.03492,1.3826,1.98705,0.000720276,0.000720276,0.000720276
18,1687.84,1.79996,1.28759,1.75107,0.63202,0.51486,0.55636,0.23502,2.10805,1.32849,2.09159,0.000717231,0.000717231,0.000717231
19,1789.65,1.80227,1.24647,1.74926,0.71653,0.55593,0.62739,0.24693,2.10033,1.32461,2.04418,0.000714186,0.000714186,0.000714186
20,1891.46,1.78501,1.2189,1.75519,0.57747,0.55889,0.55766,0.22435,2.06666,1.36179,2.0486,0.00071114,0.00071114,0.00071114
21,2002.11,1.8007,1.22787,1.74226,0.6718,0.57385,0.60749,0.253,2.05343,1.31311,1.97536,0.000708095,0.000708095,0.000708095
22,2104.54,1.76466,1.1932,1.7194,0.64778,0.58192,0.59778,0.24857,2.01533,1.29514,1.98859,0.00070505,0.00070505,0.00070505
23,2206.42,1.76144,1.15734,1.71962,0.66926,0.59517,0.63313,0.25337,2.05492,1.24198,1.97786,0.000702005,0.000702005,0.000702005
24,2318.24,1.75687,1.15509,1.718,0.7506,0.55532,0.62534,0.25787,2.04123,1.21485,2.00339,0.000698959,0.000698959,0.000698959
25,2415.94,1.7302,1.15713,1.72012,0.67179,0.60533,0.63741,0.26042,2.01357,1.2036,1.9784,0.000695914,0.000695914,0.000695914
26,2510.18,1.73556,1.1461,1.7149,0.69464,0.60277,0.62703,0.2641,2.02884,1.23387,2.00634,0.000692869,0.000692869,0.000692869
27,2601.75,1.73494,1.12371,1.71158,0.71584,0.61474,0.65497,0.26518,2.01037,1.17242,1.96349,0.000689824,0.000689824,0.000689824
28,2704.39,1.73989,1.12384,1.70815,0.72114,0.62392,0.65569,0.26994,2.03058,1.15167,2.00828,0.000686779,0.000686779,0.000686779
29,2792.68,1.71752,1.09869,1.70037,0.72001,0.5966,0.66494,0.27024,2.0387,1.1874,2.01872,0.000683733,0.000683733,0.000683733
30,2895.41,1.7349,1.1228,1.7242,0.71122,0.56877,0.64693,0.26237,2.03213,1.24844,1.9682,0.000680688,0.000680688,0.000680688
