epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6881,2.00319,2.67891,1.90481,0.50205,0.36868,0.35221,0.13689,2.15973,1.80729,2.12686,0.000251914,0.000251914,0.000251914
2,141.926,1.96103,1.70363,1.75327,0.45652,0.39948,0.31474,0.11159,2.27412,2.22156,2.32472,0.000506234,0.000506234,0.000506234
3,199.741,1.97766,1.75054,1.78564,0.616,0.2442,0.21091,0.07444,2.22264,3.26912,2.12139,0.000758525,0.000758525,0.000758525
4,257.785,1.96743,1.68226,1.78473,0.37499,0.29455,0.25352,0.09648,2.25875,2.28434,2.15925,0.000759864,0.000759864,0.000759864
5,314.912,1.97115,1.6544,1.78983,0.52461,0.34955,0.35268,0.13176,2.31644,1.99616,2.24962,0.000756819,0.000756819,0.000756819
6,372.253,1.93194,1.5701,1.76665,0.55595,0.3723,0.37568,0.15201,2.17091,2.47659,2.0842,0.000753774,0.000753774,0.000753774
7,429.501,1.89858,1.5176,1.73189,0.61901,0.38205,0.39515,0.15569,2.10588,2.02749,1.98671,0.000750729,0.000750729,0.000750729
8,487.742,1.88064,1.47924,1.71317,0.64356,0.47897,0.50162,0.2094,2.04059,1.70013,1.91614,0.000747683,0.000747683,0.000747683
9,545.232,1.90415,1.4639,1.7373,0.58735,0.53593,0.52025,0.21321,1.98635,1.40165,1.90301,0.000744638,0.000744638,0.000744638
10,602.771,1.85882,1.34324,1.69713,0.70332,0.5058,0.53696,0.21988,2.04301,1.51959,1.90771,0.000741593,0.000741593,0.000741593
11,660.465,1.85173,1.37325,1.693,0.68388,0.49318,0.52742,0.21116,2.03528,1.43351,1.92958,0.000738548,0.000738548,0.000738548
12,718.012,1.83989,1.28578,1.68277,0.55197,0.51614,0.54174,0.2145,1.97658,1.31907,1.92232,0.000735502,0.000735502,0.000735502
13,775.131,1.80245,1.27529,1.65418,0.53024,0.60087,0.57552,0.22593,2.04319,1.30963,1.929,0.000732457,0.000732457,0.000732457
14,833.001,1.8002,1.25956,1.65741,0.70983,0.56221,0.6003,0.24538,2.02042,1.23968,1.9178,0.000729412,0.000729412,0.000729412
15,891.087,1.78426,1.23225,1.65271,0.69534,0.53814,0.58488,0.23607,2.00504,1.28337,1.89524,0.000726367,0.000726367,0.000726367
16,948.754,1.78733,1.22205,1.64396,0.71661,0.54149,0.61497,0.25943,1.97395,1.2716,1.90502,0.000723321,0.000723321,0.000723321
17,1008.36,1.77184,1.18684,1.6401,0.72038,0.57524,0.62452,0.26235,1.94754,1.23717,1.8671,0.000720276,0.000720276,0.000720276
18,1070.78,1.75899,1.15962,1.61772,0.71962,0.57668,0.62765,0.27887,1.95212,1.20088,1.85491,0.000717231,0.000717231,0.000717231
19,1134.09,1.75913,1.13189,1.60599,0.67888,0.49735,0.64534,0.26531,1.97913,1.15617,1.86336,0.000714186,0.000714186,0.000714186
20,1191.61,1.73616,1.12025,1.61661,0.56878,0.69032,0.66201,0.28331,1.99475,1.17554,1.88975,0.00071114,0.00071114,0.00071114
21,1255.03,1.74321,1.13361,1.60974,0.68642,0.65938,0.68576,0.28308,1.95302,1.11742,1.85855,0.000708095,0.000708095,0.000708095
22,1312.88,1.72567,1.12351,1.61165,0.70975,0.62786,0.68393,0.29478,1.98295,1.19447,1.91271,0.00070505,0.00070505,0.00070505
23,1373.97,1.70723,1.09747,1.60032,0.69883,0.6103,0.65057,0.28643,1.92907,1.13065,1.85622,0.000702005,0.000702005,0.000702005
24,1431.44,1.70542,1.06731,1.58559,0.63782,0.76427,0.68132,0.29723,1.98287,1.19025,1.88757,0.000698959,0.000698959,0.000698959
25,1494.48,1.7036,1.0583,1.59241,0.74763,0.63394,0.72276,0.30143,1.96731,1.12589,1.84531,0.000695914,0.000695914,0.000695914
26,1553.57,1.68607,1.0416,1.56695,0.64649,0.71264,0.68162,0.2863,1.93333,1.09962,1.86228,0.000692869,0.000692869,0.000692869
27,1610.72,1.66745,1.02656,1.56739,0.76462,0.6477,0.74123,0.31855,1.97545,1.0992,1.87456,0.000689824,0.000689824,0.000689824
28,1673.29,1.67554,1.02962,1.5734,0.77559,0.6056,0.6929,0.30121,1.95074,1.09534,1.83688,0.000686779,0.000686779,0.000686779
29,1730.64,1.65831,1.0056,1.56984,0.65557,0.62795,0.64539,0.28049,1.99941,1.19018,1.88328,0.000683733,0.000683733,0.000683733
30,1788.68,1.67528,1.0191,1.578,0.62205,0.66689,0.66281,0.26925,1.9574,1.11446,1.8874,0.000680688,0.000680688,0.000680688
31,1846.12,1.65431,1.01923,1.56055,0.71004,0.71187,0.74227,0.32773,1.95033,1.11388,1.86061,0.000677643,0.000677643,0.000677643
32,1908.78,1.65245,0.99853,1.56239,0.68265,0.69255,0.69125,0.28702,1.96599,1.03589,1.87846,0.000674598,0.000674598,0.000674598
