epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7872,2.00098,3.65378,1.83512,0.01003,0.35041,0.14351,0.06028,1.85602,3.35741,1.75314,0.000251914,0.000251914,0.000251914
2,79.9068,1.95102,2.42145,1.72734,0.76241,0.2333,0.25551,0.10733,2.03182,2.35673,1.85845,0.000506234,0.000506234,0.000506234
3,103.482,1.91154,2.10257,1.69639,0.63599,0.34135,0.32213,0.12632,2.05034,1.92205,1.94089,0.000758525,0.000758525,0.000758525
4,127.445,1.90627,1.92112,1.68133,0.54098,0.40383,0.39252,0.14639,2.0495,1.81883,1.87049,0.000759864,0.000759864,0.000759864
5,151.825,1.88792,1.86354,1.66301,0.55891,0.46144,0.44957,0.17803,1.98674,1.60385,1.78729,0.000756819,0.000756819,0.000756819
6,175.55,1.84622,1.72175,1.62744,0.6156,0.44998,0.48241,0.2073,1.94958,1.59485,1.77758,0.000753774,0.000753774,0.000753774
7,199.418,1.85059,1.67987,1.6398,0.63837,0.406,0.46448,0.18479,2.06156,1.7416,1.85368,0.000750729,0.000750729,0.000750729
8,222.905,1.84061,1.59636,1.60767,0.71439,0.46807,0.51524,0.21686,1.98842,1.48931,1.79265,0.000747683,0.000747683,0.000747683
9,246.579,1.81924,1.56164,1.60844,0.74578,0.45384,0.53162,0.20981,1.99999,1.60892,1.76465,0.000744638,0.000744638,0.000744638
10,270.128,1.80287,1.51495,1.59729,0.59275,0.50173,0.49671,0.20582,1.98783,1.4691,1.79047,0.000741593,0.000741593,0.000741593
11,294.127,1.80476,1.48212,1.59887,0.63965,0.4804,0.52093,0.23576,1.94508,1.53355,1.7632,0.000738548,0.000738548,0.000738548
12,318.814,1.79742,1.45004,1.58667,0.67688,0.53609,0.5778,0.23748,1.9446,1.40367,1.75331,0.000735502,0.000735502,0.000735502
13,343.038,1.77916,1.39912,1.57727,0.543,0.5484,0.53357,0.22062,1.95612,1.52185,1.74038,0.000732457,0.000732457,0.000732457
14,366.2,1.77389,1.38083,1.56335,0.6515,0.53611,0.59434,0.26094,1.92918,1.36158,1.74553,0.000729412,0.000729412,0.000729412
15,390.785,1.76918,1.35355,1.56384,0.63774,0.55996,0.60787,0.25412,1.91915,1.31316,1.72976,0.000726367,0.000726367,0.000726367
16,414.873,1.7372,1.31626,1.54019,0.69877,0.49276,0.55415,0.24345,1.9326,1.35018,1.72487,0.000723321,0.000723321,0.000723321
17,439.448,1.72429,1.2777,1.53953,0.66058,0.57518,0.57467,0.25142,1.91865,1.3181,1.71414,0.000720276,0.000720276,0.000720276
