epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9092,2.03808,2.98209,1.89075,0.6995,0.31693,0.35727,0.13164,2.1844,2.08018,2.08016,0.000251914,0.000251914,0.000251914
2,95.5361,1.95222,1.79559,1.72533,0.47965,0.34142,0.28854,0.10735,2.14548,1.94121,2.02081,0.000506234,0.000506234,0.000506234
3,127.023,1.93357,1.60156,1.70975,0.61632,0.34258,0.34721,0.13322,2.15395,2.19996,2.12327,0.000758525,0.000758525,0.000758525
4,157.731,1.91059,1.62009,1.7131,0.66715,0.39803,0.4136,0.167,2.02107,1.76617,1.93331,0.000759864,0.000759864,0.000759864
5,188.246,1.89357,1.47635,1.7011,0.37132,0.39028,0.34652,0.1404,2.11139,1.73271,2.00279,0.000756819,0.000756819,0.000756819
6,219.303,1.8726,1.44457,1.67191,0.69424,0.41743,0.47449,0.18883,2.02862,1.64477,1.90125,0.000753774,0.000753774,0.000753774
7,250.294,1.86753,1.39248,1.67375,0.52663,0.48487,0.48831,0.17911,2.09487,1.5636,1.92941,0.000750729,0.000750729,0.000750729
8,280.704,1.85149,1.35733,1.64358,0.53397,0.57185,0.53544,0.20075,1.99479,1.45147,1.84802,0.000747683,0.000747683,0.000747683
9,311.767,1.84085,1.34893,1.65056,0.51827,0.58105,0.54665,0.21949,1.9973,1.39005,1.85767,0.000744638,0.000744638,0.000744638
10,342.651,1.79788,1.24975,1.60419,0.70146,0.52677,0.58593,0.23503,1.9907,1.46862,1.88505,0.000741593,0.000741593,0.000741593
11,372.98,1.79608,1.23189,1.6137,0.62701,0.56136,0.59619,0.25342,1.94792,1.42478,1.82207,0.000738548,0.000738548,0.000738548
12,403.425,1.80503,1.22178,1.60507,0.59441,0.61181,0.61923,0.26462,1.9714,1.34547,1.80235,0.000735502,0.000735502,0.000735502
13,434.641,1.76197,1.18896,1.57017,0.56867,0.64379,0.61435,0.2629,1.97578,1.30516,1.83059,0.000732457,0.000732457,0.000732457
14,464.998,1.77665,1.19135,1.58464,0.6985,0.61635,0.63188,0.26402,2.00308,1.27551,1.81413,0.000729412,0.000729412,0.000729412
15,495.635,1.75912,1.15791,1.56077,0.60677,0.62931,0.62128,0.25952,1.98202,1.35745,1.84657,0.000726367,0.000726367,0.000726367
16,526.857,1.75098,1.14437,1.5606,0.68514,0.58536,0.63774,0.26282,1.94542,1.32972,1.81441,0.000723321,0.000723321,0.000723321
17,557.539,1.70631,1.10233,1.54756,0.75276,0.52348,0.59035,0.25114,2.05106,1.27165,1.86149,0.000720276,0.000720276,0.000720276
18,588.44,1.7323,1.11121,1.54902,0.72283,0.61195,0.69161,0.28867,1.97679,1.20765,1.81682,0.000717231,0.000717231,0.000717231
19,620.173,1.71176,1.08227,1.55107,0.72083,0.56623,0.71303,0.30291,1.93097,1.18721,1.77988,0.000714186,0.000714186,0.000714186
20,651.018,1.70075,1.05956,1.5379,0.75189,0.67765,0.73012,0.29968,1.9451,1.12574,1.77567,0.00071114,0.00071114,0.00071114
21,681.896,1.70996,1.05149,1.5367,0.70122,0.5837,0.66415,0.28185,1.98153,1.16739,1.80146,0.000708095,0.000708095,0.000708095
22,713.816,1.67811,1.02841,1.50755,0.72439,0.62425,0.69409,0.29275,1.93476,1.18572,1.7597,0.00070505,0.00070505,0.00070505
23,744.732,1.66419,1.02541,1.51114,0.74523,0.71128,0.73427,0.31213,1.95954,1.15136,1.78731,0.000702005,0.000702005,0.000702005
24,775.472,1.68755,1.00093,1.50801,0.71884,0.64771,0.70349,0.28809,1.95241,1.13312,1.78406,0.000698959,0.000698959,0.000698959
25,807.23,1.65269,1.00899,1.50934,0.76745,0.67072,0.72494,0.30115,1.99035,1.12172,1.79857,0.000695914,0.000695914,0.000695914
26,837.834,1.68005,1.0138,1.49947,0.76005,0.70896,0.72599,0.29867,1.94847,1.14251,1.79797,0.000692869,0.000692869,0.000692869
27,868.243,1.65264,0.98952,1.48495,0.67207,0.71426,0.70535,0.29465,1.93999,1.07626,1.7734,0.000689824,0.000689824,0.000689824
