epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.781,2.04685,2.46231,1.89851,0.42961,0.29966,0.25013,0.09184,2.251,2.65526,2.12584,0.000253845,0.000253845,0.000253845
2,220.36,2.01943,1.90201,1.89184,0.31156,0.27887,0.24088,0.09499,2.23776,2.49575,2.15212,0.000508158,0.000508158,0.000508158
3,315.021,2.0681,1.91005,1.88191,0.5589,0.28856,0.27172,0.10432,2.16718,2.45461,2.08787,0.000760441,0.000760441,0.000760441
4,411.897,2.04969,1.87653,1.86834,0.47172,0.33311,0.30973,0.13343,2.10323,2.50517,1.98475,0.000759864,0.000759864,0.000759864
5,506.405,2.04395,1.80673,1.86248,0.50575,0.35901,0.33569,0.12756,2.1364,2.71865,2.02187,0.000756819,0.000756819,0.000756819
6,600.922,2.01007,1.76847,1.86069,0.62725,0.33425,0.32897,0.12753,2.17233,2.10088,1.99601,0.000753774,0.000753774,0.000753774
7,694.791,1.98006,1.71787,1.8219,0.50241,0.40868,0.39416,0.15535,2.04084,1.77507,1.94843,0.000750729,0.000750729,0.000750729
8,789.729,1.94242,1.63657,1.79961,0.55705,0.42862,0.42645,0.16577,2.05906,1.65516,1.93138,0.000747683,0.000747683,0.000747683
9,884.002,1.95274,1.56116,1.79489,0.59642,0.3572,0.38343,0.1481,2.0832,1.7783,1.96222,0.000744638,0.000744638,0.000744638
10,978.332,1.91734,1.56808,1.78728,0.56975,0.40028,0.39406,0.16626,2.0235,1.77844,1.91958,0.000741593,0.000741593,0.000741593
11,1075.19,1.91487,1.50921,1.78927,0.64273,0.45516,0.46125,0.18734,2.0257,1.55044,1.91865,0.000738548,0.000738548,0.000738548
12,1171.63,1.88876,1.45036,1.76606,0.63456,0.44503,0.4512,0.18313,2.05905,1.56846,1.95132,0.000735502,0.000735502,0.000735502
13,1265.76,1.88451,1.39573,1.75376,0.44968,0.41996,0.43785,0.18187,2.02202,1.55811,1.92166,0.000732457,0.000732457,0.000732457
14,1359.53,1.8768,1.41459,1.74569,0.66929,0.50059,0.49902,0.20573,1.96964,1.42312,1.85635,0.000729412,0.000729412,0.000729412
15,1454.17,1.83805,1.37828,1.73162,0.53547,0.50664,0.51001,0.20675,1.98889,1.42121,1.87476,0.000726367,0.000726367,0.000726367
16,1548.13,1.8587,1.3618,1.73181,0.54152,0.51986,0.51753,0.2072,1.98226,1.40616,1.86415,0.000723321,0.000723321,0.000723321
17,1642.81,1.84029,1.34399,1.74061,0.65165,0.49394,0.499,0.20144,2.04544,1.51625,1.91783,0.000720276,0.000720276,0.000720276
18,1736.83,1.84522,1.30318,1.73403,0.57314,0.49218,0.51737,0.20439,2.01001,1.36129,1.90532,0.000717231,0.000717231,0.000717231
19,1830.56,1.83598,1.29635,1.72015,0.61987,0.5341,0.52556,0.20906,1.97613,1.4675,1.88165,0.000714186,0.000714186,0.000714186
20,1925.38,1.82589,1.29149,1.71591,0.53032,0.56239,0.55056,0.2184,1.95065,1.37658,1.85333,0.00071114,0.00071114,0.00071114
21,2023.21,1.81112,1.26653,1.69675,0.51154,0.55836,0.56285,0.22974,1.97471,1.32387,1.87201,0.000708095,0.000708095,0.000708095
22,2117.61,1.80043,1.24866,1.69266,0.56747,0.54499,0.57239,0.22614,2.00496,1.2623,1.87463,0.00070505,0.00070505,0.00070505
23,2211.73,1.79419,1.2127,1.66964,0.69325,0.56152,0.57692,0.22987,1.99203,1.33893,1.86495,0.000702005,0.000702005,0.000702005
24,2307.83,1.80479,1.21186,1.67663,0.60116,0.58818,0.579,0.23685,1.97603,1.25827,1.88591,0.000698959,0.000698959,0.000698959
25,2409.23,1.768,1.20517,1.69081,0.66701,0.53372,0.58049,0.24617,1.94749,1.22818,1.86017,0.000695914,0.000695914,0.000695914
26,2507.37,1.76871,1.1944,1.67548,0.76767,0.52317,0.56766,0.23941,1.9378,1.34673,1.84859,0.000692869,0.000692869,0.000692869
27,2601.86,1.75294,1.20027,1.65421,0.58122,0.56135,0.58785,0.24499,1.96303,1.27383,1.85206,0.000689824,0.000689824,0.000689824
28,2695.91,1.74035,1.14392,1.6471,0.59743,0.62834,0.62957,0.24974,1.97748,1.19907,1.87022,0.000686779,0.000686779,0.000686779
29,2795.95,1.75403,1.13387,1.64959,0.60554,0.56678,0.5727,0.23764,1.96935,1.22544,1.84415,0.000683733,0.000683733,0.000683733
30,2890.27,1.73401,1.11441,1.63736,0.59715,0.58328,0.61077,0.25191,1.95441,1.15125,1.83134,0.000680688,0.000680688,0.000680688
31,3008.54,1.73184,1.08601,1.64307,0.58263,0.62258,0.62444,0.2552,1.96407,1.18228,1.86284,0.000677643,0.000677643,0.000677643
32,3109.02,1.72382,1.09382,1.64523,0.65944,0.61787,0.65155,0.26151,1.95393,1.13416,1.85758,0.000674598,0.000674598,0.000674598
33,3221.22,1.71167,1.08484,1.63816,0.62549,0.61513,0.61573,0.24886,1.97191,1.16741,1.86555,0.000671552,0.000671552,0.000671552
34,3316.61,1.71093,1.08905,1.63646,0.74151,0.58482,0.60899,0.24058,1.98555,1.14842,1.88447,0.000668507,0.000668507,0.000668507
35,3416.26,1.70012,1.08765,1.62756,0.61783,0.61581,0.62933,0.26531,1.93562,1.11106,1.81892,0.000665462,0.000665462,0.000665462
36,3522.7,1.69861,1.0623,1.61316,0.58122,0.61995,0.6268,0.26517,1.91197,1.1245,1.83936,0.000662417,0.000662417,0.000662417
37,3617.67,1.66729,1.05218,1.62599,0.64246,0.60091,0.62487,0.27064,1.92142,1.08552,1.82633,0.000659371,0.000659371,0.000659371
38,3714.89,1.6936,1.05291,1.61841,0.62058,0.60732,0.62385,0.25803,1.95074,1.15559,1.85301,0.000656326,0.000656326,0.000656326
39,3814.29,1.67384,1.02962,1.60086,0.64033,0.61898,0.62709,0.26347,1.92694,1.10896,1.81362,0.000653281,0.000653281,0.000653281
40,3925.04,1.65904,1.03868,1.60534,0.72101,0.6246,0.6441,0.26617,1.87984,1.09752,1.80586,0.000650236,0.000650236,0.000650236
41,4030.55,1.63738,1.01158,1.57292,0.64126,0.67035,0.66361,0.27486,1.94653,1.05748,1.84169,0.00064719,0.00064719,0.00064719
42,4153.27,1.65501,1.01666,1.59171,0.62974,0.65656,0.65171,0.26768,1.96554,1.11153,1.84942,0.000644145,0.000644145,0.000644145
43,4253.24,1.65931,0.9832,1.59457,0.66324,0.61521,0.64885,0.26691,1.94118,1.0652,1.85153,0.0006411,0.0006411,0.0006411
44,4363.43,1.62811,1.00222,1.5869,0.65689,0.62988,0.63742,0.26187,1.96341,1.09878,1.86084,0.000638055,0.000638055,0.000638055
45,4458.23,1.65954,0.98816,1.59615,0.75659,0.66908,0.69704,0.2917,1.92347,1.04804,1.83063,0.000635009,0.000635009,0.000635009
46,4553.26,1.61591,0.96982,1.57033,0.59385,0.7068,0.66671,0.26876,1.95977,1.04163,1.84883,0.000631964,0.000631964,0.000631964
47,4652.11,1.62877,0.99473,1.5702,0.68059,0.66467,0.67565,0.26426,1.95742,1.08975,1.86072,0.000628919,0.000628919,0.000628919
48,4750.65,1.65764,0.9899,1.58247,0.78179,0.65479,0.67564,0.27443,1.96829,1.05127,1.84046,0.000625874,0.000625874,0.000625874
49,4849.81,1.63148,0.98354,1.57007,0.68912,0.6777,0.6652,0.27256,1.97041,1.05197,1.86174,0.000622828,0.000622828,0.000622828
50,4944.38,1.60994,0.97108,1.58157,0.64345,0.70357,0.65548,0.27134,1.93924,1.05203,1.8413,0.000619783,0.000619783,0.000619783
51,5049.26,1.61083,0.95261,1.56907,0.63257,0.73714,0.68778,0.28007,1.9566,1.02542,1.86737,0.000616738,0.000616738,0.000616738
52,5144.37,1.60298,0.95953,1.57433,0.65729,0.65903,0.63823,0.26894,1.94526,1.0474,1.87341,0.000613693,0.000613693,0.000613693
53,5237.91,1.57542,0.93221,1.55941,0.63145,0.69192,0.64805,0.26995,1.98231,1.03384,1.90893,0.000610648,0.000610648,0.000610648
54,5339.3,1.60429,0.93614,1.5685,0.71837,0.67535,0.70024,0.28317,1.96996,1.01618,1.88068,0.000607602,0.000607602,0.000607602
55,5438.61,1.58362,0.9338,1.5516,0.69711,0.70999,0.66622,0.26153,1.96021,1.0388,1.85884,0.000604557,0.000604557,0.000604557
56,5532.56,1.58942,0.921,1.54388,0.63352,0.65875,0.66021,0.26158,1.96681,1.04461,1.87762,0.000601512,0.000601512,0.000601512
57,5631.66,1.57221,0.91188,1.53541,0.77934,0.67624,0.66153,0.26327,1.94707,1.01193,1.85715,0.000598467,0.000598467,0.000598467
58,5725.42,1.55443,0.90456,1.53267,0.69492,0.69859,0.6479,0.26282,1.95816,1.01417,1.87125,0.000595421,0.000595421,0.000595421
59,5824.66,1.56747,0.91444,1.5639,0.66399,0.71617,0.65493,0.27348,1.95062,1.05157,1.86731,0.000592376,0.000592376,0.000592376
60,5918.79,1.58848,0.90872,1.54597,0.713,0.69433,0.6662,0.27833,1.93967,1.00136,1.85277,0.000589331,0.000589331,0.000589331
61,6026.23,1.56187,0.90634,1.5401,0.62397,0.65344,0.65703,0.26869,1.95056,1.04511,1.85577,0.000586286,0.000586286,0.000586286
62,6125.56,1.57394,0.90804,1.53208,0.63935,0.63687,0.64688,0.27271,1.9325,0.99764,1.84846,0.00058324,0.00058324,0.00058324
63,6225.09,1.55287,0.87694,1.52712,0.69671,0.68668,0.65387,0.26556,1.9229,0.99503,1.84966,0.000580195,0.000580195,0.000580195
64,6324.54,1.53126,0.87131,1.52071,0.70445,0.66638,0.65297,0.2675,1.94806,1.00493,1.86785,0.00057715,0.00057715,0.00057715
65,6423.99,1.56293,0.88486,1.55137,0.67637,0.70712,0.68819,0.28433,1.94516,0.98862,1.87628,0.000574105,0.000574105,0.000574105
66,6523.62,1.53832,0.87403,1.52579,0.72225,0.66571,0.66153,0.27059,1.9456,1.00203,1.86467,0.000571059,0.000571059,0.000571059
67,6617.94,1.5265,0.87086,1.51975,0.67737,0.69129,0.65228,0.27061,1.95411,0.97656,1.88633,0.000568014,0.000568014,0.000568014
68,6712.2,1.52705,0.85694,1.49881,0.70491,0.67915,0.67135,0.27125,1.96134,1.00751,1.87548,0.000564969,0.000564969,0.000564969
69,6806.87,1.52761,0.8551,1.509,0.6976,0.6901,0.67342,0.2738,1.97033,0.97817,1.8995,0.000561924,0.000561924,0.000561924
70,6902.14,1.52433,0.86469,1.51821,0.70032,0.70254,0.68491,0.28497,1.97166,0.99507,1.89557,0.000558878,0.000558878,0.000558878
71,7005,1.52774,0.86247,1.51037,0.68613,0.70694,0.66051,0.27106,1.96744,0.9998,1.86193,0.000555833,0.000555833,0.000555833
72,7099.71,1.50996,0.84617,1.5007,0.68616,0.71307,0.67597,0.28,1.95223,0.95971,1.87588,0.000552788,0.000552788,0.000552788
