epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.521,1.98582,3.7977,1.77143,0.00978,0.39521,0.17081,0.07019,1.92657,3.81029,1.67016,0.000251404,0.000251404,0.000251404
2,87.3731,1.98409,2.57739,1.67751,0.81197,0.2578,0.28942,0.11415,2.0495,2.9194,1.8239,0.000505727,0.000505727,0.000505727
3,116.323,1.95364,2.16505,1.65889,0.66174,0.30153,0.29416,0.1298,2.05381,2.35572,1.82992,0.000758019,0.000758019,0.000758019
4,145.357,1.94512,1.99674,1.66958,0.59394,0.34158,0.37408,0.15977,1.98651,2.21574,1.87754,0.000759864,0.000759864,0.000759864
5,174.034,1.92622,1.88295,1.66964,0.54306,0.40109,0.39045,0.16261,1.98174,2.0675,1.88865,0.000756819,0.000756819,0.000756819
6,202.922,1.88745,1.76433,1.64058,0.64398,0.42815,0.43581,0.17715,1.96793,1.98232,1.77233,0.000753774,0.000753774,0.000753774
7,231.195,1.86982,1.75548,1.63886,0.60503,0.43044,0.46081,0.1927,2.0157,2.00408,1.81874,0.000750729,0.000750729,0.000750729
8,259.513,1.85028,1.70625,1.62776,0.65437,0.45923,0.48893,0.20618,1.99276,1.90479,1.81569,0.000747683,0.000747683,0.000747683
9,288.395,1.84797,1.59825,1.61895,0.65036,0.46578,0.49337,0.20032,1.9612,1.75025,1.80993,0.000744638,0.000744638,0.000744638
10,317.053,1.81549,1.56964,1.62004,0.55753,0.53694,0.51383,0.21317,1.97741,1.66421,1.8101,0.000741593,0.000741593,0.000741593
11,346.021,1.81534,1.50275,1.58697,0.64081,0.49286,0.47019,0.18255,2.05204,1.78311,1.81434,0.000738548,0.000738548,0.000738548
12,375.006,1.79885,1.48106,1.59151,0.69358,0.5028,0.53618,0.22119,1.9572,1.53674,1.76319,0.000735502,0.000735502,0.000735502
13,402.99,1.80989,1.42404,1.5972,0.66554,0.50553,0.51208,0.21445,1.95412,1.57774,1.7579,0.000732457,0.000732457,0.000732457
14,431.065,1.7726,1.3922,1.56525,0.58961,0.52003,0.55068,0.21484,1.97428,1.71453,1.79564,0.000729412,0.000729412,0.000729412
15,459.5,1.77722,1.38146,1.5832,0.67204,0.52841,0.55413,0.2286,1.96513,1.4995,1.79482,0.000726367,0.000726367,0.000726367
16,488.074,1.78068,1.35884,1.57703,0.67598,0.57714,0.60028,0.25211,1.95395,1.40453,1.74373,0.000723321,0.000723321,0.000723321
17,516.31,1.76209,1.34779,1.5664,0.58241,0.54759,0.55276,0.22649,1.96333,1.42682,1.75394,0.000720276,0.000720276,0.000720276
18,544.312,1.7487,1.30012,1.56142,0.71034,0.5594,0.58163,0.23554,1.98386,1.42803,1.7581,0.000717231,0.000717231,0.000717231
19,572.806,1.75177,1.28188,1.56801,0.68453,0.61543,0.61899,0.25538,1.9205,1.3502,1.7452,0.000714186,0.000714186,0.000714186
20,600.974,1.74752,1.24488,1.53547,0.61542,0.64343,0.61276,0.25947,1.92019,1.32258,1.76038,0.00071114,0.00071114,0.00071114
21,629.853,1.73401,1.22136,1.55015,0.60557,0.6376,0.61182,0.26033,1.95854,1.33159,1.7447,0.000708095,0.000708095,0.000708095
22,658.174,1.73523,1.21135,1.53788,0.60151,0.53811,0.57495,0.24041,1.91118,1.29482,1.73243,0.00070505,0.00070505,0.00070505
23,686.776,1.72468,1.19617,1.54188,0.7386,0.54383,0.60448,0.24941,1.92196,1.31005,1.73819,0.000702005,0.000702005,0.000702005
24,715.998,1.70552,1.1739,1.51743,0.69323,0.5831,0.62226,0.2649,1.93025,1.28701,1.7538,0.000698959,0.000698959,0.000698959
25,745.29,1.68814,1.17431,1.52269,0.6599,0.59814,0.62212,0.26954,1.93971,1.25932,1.75639,0.000695914,0.000695914,0.000695914
26,774.244,1.67299,1.10894,1.49203,0.65627,0.62606,0.63401,0.26992,1.97284,1.26803,1.78813,0.000692869,0.000692869,0.000692869
