epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4249,2.04732,3.04036,1.95714,0.44848,0.32849,0.30275,0.1248,2.12992,2.63216,2.10058,0.000251404,0.000251404,0.000251404
2,113.014,1.96138,1.86172,1.83197,0.51889,0.31567,0.32184,0.13214,2.15101,2.46813,2.23443,0.000505727,0.000505727,0.000505727
3,159.258,1.97774,1.69867,1.83656,0.45081,0.38683,0.32557,0.1268,2.16361,1.99671,2.09663,0.000758019,0.000758019,0.000758019
4,207.485,1.96764,1.69046,1.79202,0.54873,0.34879,0.32461,0.12725,2.15192,2.70607,2.04988,0.000759864,0.000759864,0.000759864
5,254.447,1.95215,1.58313,1.80635,0.64276,0.39395,0.41991,0.16418,2.04945,1.95448,1.96587,0.000756819,0.000756819,0.000756819
6,302.102,1.92977,1.48026,1.77822,0.56221,0.41281,0.39746,0.15302,2.15111,1.86288,2.0201,0.000753774,0.000753774,0.000753774
7,348.807,1.91571,1.48448,1.77343,0.57549,0.4931,0.47595,0.17932,2.14589,1.78506,2.02451,0.000750729,0.000750729,0.000750729
8,395.368,1.88558,1.44512,1.75489,0.60837,0.50324,0.45733,0.17505,2.08403,1.72346,1.9952,0.000747683,0.000747683,0.000747683
9,442.013,1.88214,1.37468,1.74014,0.58007,0.51563,0.54094,0.201,2.04662,1.54218,1.93278,0.000744638,0.000744638,0.000744638
10,488.659,1.85283,1.34817,1.73806,0.66392,0.50526,0.49709,0.19196,2.05394,1.38195,1.95374,0.000741593,0.000741593,0.000741593
11,536.744,1.84359,1.31118,1.71983,0.51166,0.4721,0.49112,0.18147,2.11426,1.66347,2.01539,0.000738548,0.000738548,0.000738548
12,583.339,1.8388,1.311,1.713,0.56632,0.50219,0.5248,0.20605,1.99243,1.40423,1.86014,0.000735502,0.000735502,0.000735502
13,630.429,1.83937,1.2692,1.72764,0.6462,0.51183,0.49928,0.20406,2.05117,1.34552,1.93938,0.000732457,0.000732457,0.000732457
14,677.593,1.79587,1.25791,1.68599,0.60009,0.52952,0.55583,0.22069,2.00833,1.34487,1.87297,0.000729412,0.000729412,0.000729412
15,724.567,1.79927,1.23684,1.69347,0.60245,0.5444,0.56489,0.2221,2.05521,1.28902,1.89546,0.000726367,0.000726367,0.000726367
16,771.161,1.80321,1.21178,1.68109,0.67577,0.49985,0.53815,0.21008,2.00564,1.30352,1.86701,0.000723321,0.000723321,0.000723321
17,817.547,1.7853,1.21031,1.67113,0.61911,0.54961,0.58248,0.23958,1.98788,1.26576,1.8551,0.000720276,0.000720276,0.000720276
18,864.067,1.76752,1.17187,1.66939,0.57398,0.62157,0.59419,0.23744,2.00997,1.21037,1.88092,0.000717231,0.000717231,0.000717231
19,910.499,1.77399,1.15427,1.67478,0.61964,0.57559,0.58265,0.24422,1.93948,1.26949,1.83573,0.000714186,0.000714186,0.000714186
20,957.165,1.77626,1.14423,1.62952,0.61191,0.61987,0.61625,0.24804,1.98094,1.19284,1.84018,0.00071114,0.00071114,0.00071114
21,1005.88,1.74585,1.1131,1.65711,0.60884,0.53129,0.57309,0.23361,1.97731,1.22836,1.8732,0.000708095,0.000708095,0.000708095
22,1052.52,1.74345,1.11565,1.62358,0.57465,0.6222,0.57539,0.23707,1.9753,1.19793,1.82523,0.00070505,0.00070505,0.00070505
